# Copyright (c) 2014-2023 Maltrail developers (https://github.com/stamparm/maltrail/)
# See the file 'LICENSE' for copying permission

# AS63949 Linode, LLC

168.235.96.0/22,ramnode
192.184.80.0/21,ramnode
192.184.88.0/21,ramnode
192.184.93.0/24,ramnode
192.249.56.0/22,ramnode
192.249.60.0/22,ramnode
192.30.32.0/22,ramnode
192.73.232.0/21,ramnode
199.241.28.0/22,ramnode
23.226.224.0/21,ramnode
23.226.232.0/21,ramnode

# AS14061 DigitalOcean, LLC

103.253.144.0/22,digitalocean
104.131.0.0/18,digitalocean
104.131.128.0/20,digitalocean
104.131.144.0/20,digitalocean
104.131.160.0/20,digitalocean
104.131.176.0/20,digitalocean
104.131.192.0/19,digitalocean
104.131.224.0/19,digitalocean
104.131.64.0/18,digitalocean
104.236.0.0/18,digitalocean
104.236.128.0/18,digitalocean
104.236.192.0/18,digitalocean
104.236.64.0/18,digitalocean
104.248.0.0/20,digitalocean
104.248.100.0/22,digitalocean
104.248.104.0/22,digitalocean
104.248.108.0/22,digitalocean
104.248.112.0/20,digitalocean
104.248.128.0/20,digitalocean
104.248.144.0/20,digitalocean
104.248.160.0/20,digitalocean
104.248.16.0/20,digitalocean
104.248.176.0/20,digitalocean
104.248.192.0/20,digitalocean
104.248.208.0/20,digitalocean
104.248.224.0/20,digitalocean
104.248.240.0/20,digitalocean
104.248.32.0/20,digitalocean
104.248.48.0/20,digitalocean
104.248.64.0/20,digitalocean
104.248.80.0/20,digitalocean
104.248.96.0/22,digitalocean
107.170.0.0/17,digitalocean
107.170.128.0/19,digitalocean
107.170.160.0/19,digitalocean
107.170.192.0/18,digitalocean
128.199.0.0/20,digitalocean
128.199.128.0/18,digitalocean
128.199.16.0/20,digitalocean
128.199.192.0/18,digitalocean
128.199.32.0/19,digitalocean
128.199.64.0/18,digitalocean
134.122.0.0/20,digitalocean
134.122.112.0/20,digitalocean
134.122.16.0/20,digitalocean
134.122.32.0/20,digitalocean
134.122.48.0/20,digitalocean
134.122.64.0/20,digitalocean
134.122.80.0/20,digitalocean
134.122.96.0/20,digitalocean
134.209.0.0/20,digitalocean
134.209.112.0/20,digitalocean
134.209.128.0/22,digitalocean
134.209.132.0/22,digitalocean
134.209.136.0/22,digitalocean
134.209.140.0/22,digitalocean
134.209.144.0/20,digitalocean
134.209.160.0/20,digitalocean
134.209.16.0/20,digitalocean
134.209.176.0/20,digitalocean
134.209.192.0/20,digitalocean
134.209.208.0/20,digitalocean
134.209.224.0/20,digitalocean
134.209.240.0/20,digitalocean
134.209.32.0/20,digitalocean
134.209.48.0/20,digitalocean
134.209.64.0/20,digitalocean
134.209.80.0/20,digitalocean
134.209.96.0/20,digitalocean
138.197.0.0/20,digitalocean
138.197.112.0/20,digitalocean
138.197.128.0/20,digitalocean
138.197.144.0/20,digitalocean
138.197.160.0/20,digitalocean
138.197.16.0/20,digitalocean
138.197.176.0/20,digitalocean
138.197.192.0/20,digitalocean
138.197.208.0/20,digitalocean
138.197.224.0/22,digitalocean
138.197.228.0/22,digitalocean
138.197.232.0/22,digitalocean
138.197.236.0/22,digitalocean
138.197.240.0/22,digitalocean
138.197.252.0/22,digitalocean
138.197.32.0/20,digitalocean
138.197.48.0/22,digitalocean
138.197.52.0/22,digitalocean
138.197.56.0/22,digitalocean
138.197.60.0/22,digitalocean
138.197.64.0/20,digitalocean
138.197.80.0/20,digitalocean
138.197.96.0/20,digitalocean
138.68.0.0/20,digitalocean
138.68.112.0/22,digitalocean
138.68.116.0/22,digitalocean
138.68.120.0/23,digitalocean
138.68.122.0/23,digitalocean
138.68.124.0/22,digitalocean
138.68.128.0/20,digitalocean
138.68.144.0/20,digitalocean

# AS32475 SingleHop LLC

103.94.240.0/22,singlehop
103.96.100.0/24,singlehop
103.96.101.0/24,singlehop
103.96.102.0/24,singlehop
103.96.103.0/24,singlehop
104.219.72.0/22,singlehop
104.219.75.0/24,singlehop
107.6.128.0/18,singlehop
107.6.136.0/24,singlehop
107.6.140.0/22,singlehop
107.6.150.0/23,singlehop
107.6.152.0/22,singlehop
107.6.156.0/23,singlehop
107.6.160.0/20,singlehop
107.6.176.0/21,singlehop
107.6.184.0/22,singlehop
108.163.192.0/18,singlehop
108.163.200.0/24,singlehop
108.163.236.0/22,singlehop
108.178.0.0/19,singlehop
108.178.12.0/24,singlehop
108.178.32.0/20,singlehop
108.178.48.0/20,singlehop
108.178.48.0/22,singlehop
108.178.54.0/23,singlehop
109.199.112.0/22,singlehop
109.199.116.0/24,singlehop
109.199.125.0/24,singlehop
109.199.96.0/20,singlehop
109.73.224.0/22,singlehop
109.73.224.0/24,singlehop
109.73.225.0/24,singlehop
109.73.226.0/24,singlehop
109.73.227.0/24,singlehop
109.73.230.0/24,singlehop
109.73.232.0/24,singlehop
109.73.235.0/24,singlehop
146.66.100.0/24,singlehop
146.66.110.0/24,singlehop
146.66.111.0/24,singlehop
146.66.112.0/24,singlehop
146.66.114.0/24,singlehop
146.66.117.0/24,singlehop
146.66.73.0/24,singlehop
146.66.74.0/24,singlehop
146.66.75.0/24,singlehop
146.66.76.0/24,singlehop
146.66.77.0/24,singlehop
146.66.78.0/24,singlehop
146.66.87.0/24,singlehop
146.66.88.0/24,singlehop
146.66.95.0/24,singlehop
146.66.98.0/24,singlehop
147.75.129.0/24,singlehop
162.253.224.0/22,singlehop
172.94.45.0/24,singlehop
172.96.184.0/24,singlehop
172.96.186.0/24,singlehop
172.96.187.0/24,singlehop
172.96.188.0/24,singlehop
173.236.0.0/17,singlehop
173.236.0.0/18,singlehop
173.236.16.0/24,singlehop
173.236.2.0/24,singlehop
173.236.4.0/23,singlehop
173.236.64.0/23,singlehop
173.236.66.0/24,singlehop
173.236.67.0/24,singlehop
173.236.68.0/22,singlehop
173.236.69.0/24,singlehop
173.236.7.0/24,singlehop
173.236.72.0/21,singlehop
173.236.72.0/22,singlehop
173.236.80.0/20,singlehop
173.236.8.0/23,singlehop
173.236.96.0/19,singlehop
181.224.128.0/24,singlehop
181.224.134.0/24,singlehop
181.224.141.0/24,singlehop
181.224.142.0/24,singlehop
181.224.144.0/22,singlehop
181.224.146.0/24,singlehop
181.224.148.0/24,singlehop
181.224.154.0/23,singlehop
181.224.154.0/24,singlehop
181.224.155.0/24,singlehop
184.154.0.0/16,singlehop
184.154.120.0/24,singlehop
184.154.14.0/24,singlehop
184.154.152.0/24,singlehop
184.154.160.0/24,singlehop
184.154.168.0/24,singlehop
184.154.22.0/24,singlehop
184.154.224.0/20,singlehop
184.154.240.0/21,singlehop
184.154.46.0/24,singlehop
184.154.70.0/24,singlehop
185.126.97.0/24,singlehop
185.195.12.0/23,singlehop
185.197.128.0/24,singlehop

# AS36352 ColoCrossing

102.64.122.0/23,colocrossing
104.144.114.0/23,colocrossing
104.144.121.0/24,colocrossing
104.144.123.0/24,colocrossing
104.144.142.0/24,colocrossing
104.144.200.0/24,colocrossing
104.144.211.0/24,colocrossing
104.144.214.0/24,colocrossing
104.144.216.0/24,colocrossing
104.144.42.0/24,colocrossing
104.144.43.0/24,colocrossing
104.145.231.0/24,colocrossing
104.145.232.0/24,colocrossing
104.145.233.0/24,colocrossing
104.145.234.0/24,colocrossing
104.145.237.0/24,colocrossing
104.145.238.0/24,colocrossing
104.168.0.0/23,colocrossing
104.168.100.0/23,colocrossing
104.168.102.0/24,colocrossing
104.168.103.0/24,colocrossing
104.168.104.0/24,colocrossing
104.168.105.0/24,colocrossing
104.168.106.0/24,colocrossing
104.168.107.0/24,colocrossing
104.168.108.0/23,colocrossing
104.168.110.0/24,colocrossing
104.168.111.0/24,colocrossing
104.168.112.0/22,colocrossing
104.168.116.0/22,colocrossing
104.168.120.0/21,colocrossing
104.168.12.0/23,colocrossing
104.168.14.0/24,colocrossing
104.168.15.0/24,colocrossing
104.168.16.0/22,colocrossing
104.168.20.0/24,colocrossing
104.168.2.0/23,colocrossing
104.168.21.0/24,colocrossing
104.168.22.0/24,colocrossing
104.168.23.0/24,colocrossing
104.168.24.0/22,colocrossing
104.168.28.0/23,colocrossing
104.168.30.0/24,colocrossing
104.168.31.0/24,colocrossing
104.168.32.0/21,colocrossing
104.168.40.0/23,colocrossing
104.168.4.0/22,colocrossing
104.168.42.0/24,colocrossing
104.168.43.0/24,colocrossing
104.168.44.0/24,colocrossing
104.168.45.0/24,colocrossing
104.168.46.0/23,colocrossing
104.168.48.0/21,colocrossing
104.168.56.0/22,colocrossing
104.168.60.0/23,colocrossing
104.168.62.0/24,colocrossing
104.168.63.0/24,colocrossing
104.168.64.0/21,colocrossing
104.168.72.0/24,colocrossing
104.168.73.0/24,colocrossing
104.168.74.0/24,colocrossing
104.168.75.0/24,colocrossing
104.168.76.0/24,colocrossing
104.168.77.0/24,colocrossing
104.168.78.0/24,colocrossing
104.168.79.0/24,colocrossing
104.168.80.0/24,colocrossing
104.168.8.0/22,colocrossing
104.168.81.0/24,colocrossing
104.168.82.0/23,colocrossing
104.168.84.0/24,colocrossing
104.168.85.0/24,colocrossing
104.168.86.0/24,colocrossing
104.168.87.0/24,colocrossing
104.168.88.0/22,colocrossing
104.168.92.0/24,colocrossing
104.168.93.0/24,colocrossing
104.168.94.0/23,colocrossing
104.168.96.0/24,colocrossing
104.168.97.0/24,colocrossing
104.168.98.0/23,colocrossing
104.193.180.0/24,colocrossing
104.193.183.0/24,colocrossing
104.222.152.0/24,colocrossing
104.227.110.0/23,colocrossing
104.227.121.0/24,colocrossing
104.227.132.0/24,colocrossing
104.227.147.0/24,colocrossing
104.227.149.0/24,colocrossing
104.227.174.0/23,colocrossing
104.227.192.0/20,colocrossing
104.227.208.0/21,colocrossing
104.227.216.0/22,colocrossing
104.227.220.0/23,colocrossing
104.227.75.0/24,colocrossing
104.250.117.0/24,colocrossing
104.250.124.0/24,colocrossing
104.250.125.0/24,colocrossing
104.250.126.0/24,colocrossing
107.152.157.0/24,colocrossing
107.172.96.0/21,colocrossing

# HR-MAXKO-20190710

45.95.168.0/22,maxko

# PONYNET
# Reference: https://www.virustotal.com/gui/ip-address/209.141.34.111/relations
# Reference: https://radar.qrator.net/as53667

209.141.32.0/19,ponynet

# AS22769 DDOSING-BGP-NETWORK
# Reference: https://twitter.com/KesaGataMe0/status/1446430614240960516

14.192.4.0/22,ddosing-bgp-network
14.192.4.0/23,ddosing-bgp-network
14.192.4.0/24,ddosing-bgp-network
14.192.5.0/24,ddosing-bgp-network
14.192.6.0/23,ddosing-bgp-network
14.192.6.0/24,ddosing-bgp-network
14.192.7.0/24,ddosing-bgp-network
23.133.5.0/24,ddosing-bgp-network
41.77.241.0/24,ddosing-bgp-network
41.77.242.0/23,ddosing-bgp-network
41.77.242.0/24,ddosing-bgp-network
41.77.243.0/24,ddosing-bgp-network
41.77.244.0/22,ddosing-bgp-network
41.77.244.0/23,ddosing-bgp-network
41.77.244.0/24,ddosing-bgp-network
41.77.245.0/24,ddosing-bgp-network
