# Copyright (c) 2014-2019 Maltrail developers (https://github.com/stamparm/maltrail/)
# See the file 'LICENSE' for copying permission

#################################################################
# Note: to automatically block IPs from this list (with ipset): #
#################################################################
#  sudo su
#  apt-get -qq install iptables ipset &&\
#  ipset -q flush mass_scanners &&\
#  ipset -q create mass_scanners hash:net &&\
#  for ip in $(curl https://raw.githubusercontent.com/stamparm/maltrail/master/trails/static/mass_scanner.txt 2>/dev/null | grep -v "^#" | cut -d " " -f 1); do ipset add mass_scanners $ip; done &&\
#  iptables -I INPUT -m set --match-set mass_scanners src -j DROP
#  iptables -nvL
#################################################################

129.82.138.12  # pinger1a.netsec.colostate.edu
141.212.121.64   # researchscan***.eecs.umich.edu
141.212.121.65   # researchscan***.eecs.umich.edu
141.212.121.66   # researchscan***.eecs.umich.edu
141.212.121.67   # researchscan***.eecs.umich.edu
141.212.121.68   # researchscan***.eecs.umich.edu
141.212.121.69   # researchscan***.eecs.umich.edu
141.212.121.70   # researchscan***.eecs.umich.edu
141.212.121.71   # researchscan***.eecs.umich.edu
141.212.121.72   # researchscan***.eecs.umich.edu
141.212.121.73   # researchscan***.eecs.umich.edu
141.212.121.74   # researchscan***.eecs.umich.edu
141.212.121.75   # researchscan***.eecs.umich.edu
141.212.121.76   # researchscan***.eecs.umich.edu
141.212.121.77   # researchscan***.eecs.umich.edu
141.212.121.78   # researchscan***.eecs.umich.edu
141.212.121.79   # researchscan***.eecs.umich.edu
141.212.121.80   # researchscan***.eecs.umich.edu
141.212.121.81   # researchscan***.eecs.umich.edu
141.212.121.82   # researchscan***.eecs.umich.edu
141.212.121.83   # researchscan***.eecs.umich.edu
141.212.121.84   # researchscan***.eecs.umich.edu
141.212.121.85   # researchscan***.eecs.umich.edu
141.212.121.86   # researchscan***.eecs.umich.edu
141.212.121.87   # researchscan***.eecs.umich.edu
141.212.121.88   # researchscan***.eecs.umich.edu
141.212.121.89   # researchscan***.eecs.umich.edu
141.212.121.90   # researchscan***.eecs.umich.edu
141.212.121.91   # researchscan***.eecs.umich.edu
141.212.121.92   # researchscan***.eecs.umich.edu
141.212.121.93   # researchscan***.eecs.umich.edu
141.212.121.94   # researchscan***.eecs.umich.edu
141.212.121.95   # researchscan***.eecs.umich.edu
141.212.121.96   # researchscan***.eecs.umich.edu
141.212.121.97   # researchscan***.eecs.umich.edu
141.212.121.98   # researchscan***.eecs.umich.edu
141.212.121.99   # researchscan***.eecs.umich.edu
141.212.121.100   # researchscan***.eecs.umich.edu
141.212.121.101   # researchscan***.eecs.umich.edu
141.212.121.102   # researchscan***.eecs.umich.edu
141.212.121.103   # researchscan***.eecs.umich.edu
141.212.121.104   # researchscan***.eecs.umich.edu
141.212.121.105   # researchscan***.eecs.umich.edu
141.212.121.106   # researchscan***.eecs.umich.edu
141.212.121.107   # researchscan***.eecs.umich.edu
141.212.121.108   # researchscan***.eecs.umich.edu
141.212.121.109   # researchscan***.eecs.umich.edu
141.212.121.110   # researchscan***.eecs.umich.edu
141.212.121.111   # researchscan***.eecs.umich.edu
141.212.121.112   # researchscan***.eecs.umich.edu
141.212.121.113   # researchscan***.eecs.umich.edu
141.212.121.114   # researchscan***.eecs.umich.edu
141.212.121.115   # researchscan***.eecs.umich.edu
141.212.121.116   # researchscan***.eecs.umich.edu
141.212.121.117   # researchscan***.eecs.umich.edu
141.212.121.118   # researchscan***.eecs.umich.edu
141.212.121.119   # researchscan***.eecs.umich.edu
141.212.121.120   # researchscan***.eecs.umich.edu
141.212.121.121   # researchscan***.eecs.umich.edu
141.212.121.122   # researchscan***.eecs.umich.edu
141.212.121.123   # researchscan***.eecs.umich.edu
141.212.121.124   # researchscan***.eecs.umich.edu
141.212.121.125   # researchscan***.eecs.umich.edu
141.212.121.126   # researchscan***.eecs.umich.edu
141.212.121.127   # researchscan***.eecs.umich.edu
141.212.121.128   # researchscan***.eecs.umich.edu
141.212.121.129   # researchscan***.eecs.umich.edu
141.212.121.130   # researchscan***.eecs.umich.edu
141.212.121.131   # researchscan***.eecs.umich.edu
141.212.121.132   # researchscan***.eecs.umich.edu
141.212.121.133   # researchscan***.eecs.umich.edu
141.212.121.134   # researchscan***.eecs.umich.edu
141.212.121.135   # researchscan***.eecs.umich.edu
141.212.121.136   # researchscan***.eecs.umich.edu
141.212.121.137   # researchscan***.eecs.umich.edu
141.212.121.138   # researchscan***.eecs.umich.edu
141.212.121.139   # researchscan***.eecs.umich.edu
141.212.121.140   # researchscan***.eecs.umich.edu
141.212.121.141   # researchscan***.eecs.umich.edu
141.212.121.142   # researchscan***.eecs.umich.edu
141.212.121.143   # researchscan***.eecs.umich.edu
141.212.121.144   # researchscan***.eecs.umich.edu
141.212.121.145   # researchscan***.eecs.umich.edu
141.212.121.146   # researchscan***.eecs.umich.edu
141.212.121.147   # researchscan***.eecs.umich.edu
141.212.121.148   # researchscan***.eecs.umich.edu
141.212.121.149   # researchscan***.eecs.umich.edu
141.212.121.150   # researchscan***.eecs.umich.edu
141.212.121.151   # researchscan***.eecs.umich.edu
141.212.121.152   # researchscan***.eecs.umich.edu
141.212.121.153   # researchscan***.eecs.umich.edu
141.212.121.154   # researchscan***.eecs.umich.edu
141.212.121.155   # researchscan***.eecs.umich.edu
141.212.121.156   # researchscan***.eecs.umich.edu
141.212.121.157   # researchscan***.eecs.umich.edu
141.212.121.158   # researchscan***.eecs.umich.edu
141.212.121.159   # researchscan***.eecs.umich.edu
141.212.121.160   # researchscan***.eecs.umich.edu
141.212.121.161   # researchscan***.eecs.umich.edu
141.212.121.162   # researchscan***.eecs.umich.edu
141.212.121.163   # researchscan***.eecs.umich.edu
141.212.121.164   # researchscan***.eecs.umich.edu
141.212.121.165   # researchscan***.eecs.umich.edu
141.212.121.166   # researchscan***.eecs.umich.edu
141.212.121.167   # researchscan***.eecs.umich.edu
141.212.121.168   # researchscan***.eecs.umich.edu
141.212.121.169   # researchscan***.eecs.umich.edu
141.212.121.170   # researchscan***.eecs.umich.edu
141.212.121.171   # researchscan***.eecs.umich.edu
141.212.121.172   # researchscan***.eecs.umich.edu
141.212.121.173   # researchscan***.eecs.umich.edu
141.212.121.174   # researchscan***.eecs.umich.edu
141.212.121.175   # researchscan***.eecs.umich.edu
141.212.121.176   # researchscan***.eecs.umich.edu
141.212.121.177   # researchscan***.eecs.umich.edu
141.212.121.178   # researchscan***.eecs.umich.edu
141.212.121.179   # researchscan***.eecs.umich.edu
141.212.121.180   # researchscan***.eecs.umich.edu
141.212.121.181   # researchscan***.eecs.umich.edu
141.212.121.182   # researchscan***.eecs.umich.edu
141.212.121.183   # researchscan***.eecs.umich.edu
141.212.121.184   # researchscan***.eecs.umich.edu
141.212.121.185   # researchscan***.eecs.umich.edu
141.212.121.186   # researchscan***.eecs.umich.edu
141.212.121.187   # researchscan***.eecs.umich.edu
141.212.121.188   # researchscan***.eecs.umich.edu
141.212.121.189   # researchscan***.eecs.umich.edu
141.212.121.190   # researchscan***.eecs.umich.edu
141.212.121.191   # researchscan***.eecs.umich.edu
141.212.121.192   # researchscan***.eecs.umich.edu
141.212.121.193   # researchscan***.eecs.umich.edu
141.212.121.194   # researchscan***.eecs.umich.edu
141.212.121.195   # researchscan***.eecs.umich.edu
141.212.121.196   # researchscan***.eecs.umich.edu
141.212.121.197   # researchscan***.eecs.umich.edu
141.212.121.198   # researchscan***.eecs.umich.edu
141.212.121.199   # researchscan***.eecs.umich.edu
141.212.121.200   # researchscan***.eecs.umich.edu
141.212.121.201   # researchscan***.eecs.umich.edu
141.212.121.202   # researchscan***.eecs.umich.edu
141.212.121.203   # researchscan***.eecs.umich.edu
141.212.121.204   # researchscan***.eecs.umich.edu
141.212.121.205   # researchscan***.eecs.umich.edu
141.212.121.206   # researchscan***.eecs.umich.edu
141.212.121.207   # researchscan***.eecs.umich.edu
141.212.121.208   # researchscan***.eecs.umich.edu
141.212.121.209   # researchscan***.eecs.umich.edu
141.212.121.210   # researchscan***.eecs.umich.edu
141.212.121.211   # researchscan***.eecs.umich.edu
141.212.121.212   # researchscan***.eecs.umich.edu
141.212.121.213   # researchscan***.eecs.umich.edu
141.212.121.214   # researchscan***.eecs.umich.edu
141.212.121.215   # researchscan***.eecs.umich.edu
141.212.121.216   # researchscan***.eecs.umich.edu
141.212.121.217   # researchscan***.eecs.umich.edu
141.212.121.218   # researchscan***.eecs.umich.edu
141.212.121.219   # researchscan***.eecs.umich.edu
141.212.121.220   # researchscan***.eecs.umich.edu
141.212.121.221   # researchscan***.eecs.umich.edu
141.212.121.222   # researchscan***.eecs.umich.edu
141.212.121.223   # researchscan***.eecs.umich.edu
141.212.121.224   # researchscan***.eecs.umich.edu
141.212.121.225   # researchscan***.eecs.umich.edu
141.212.121.226   # researchscan***.eecs.umich.edu
141.212.121.227   # researchscan***.eecs.umich.edu
141.212.121.228   # researchscan***.eecs.umich.edu
141.212.121.229   # researchscan***.eecs.umich.edu
141.212.121.230   # researchscan***.eecs.umich.edu
141.212.121.231   # researchscan***.eecs.umich.edu
141.212.121.232   # researchscan***.eecs.umich.edu
141.212.121.233   # researchscan***.eecs.umich.edu
